,Star Name,Distance,Mass,Radius
260,WISE 0819-0335,WISE 0819-0335,WISE 0819-0335,WISE 0819-0335
261,WISE 0821+1443,WISE 0821+1443,WISE 0821+1443,WISE 0821+1443
262,WISE 0836-1859,WISE 0836-1859,WISE 0836-1859,WISE 0836-1859
263,WISE 0857+5604,WISE 0857+5604,WISE 0857+5604,WISE 0857+5604
264,WISE 0906+4735,WISE 0906+4735,WISE 0906+4735,WISE 0906+4735
265,WISE 0929+0409,WISE 0929+0409,WISE 0929+0409,WISE 0929+0409
266,WISE 0952+1955,WISE 0952+1955,WISE 0952+1955,WISE 0952+1955
267,WISE 1018-2445,WISE 1018-2445,WISE 1018-2445,WISE 1018-2445
268,WISE 1019+6529,WISE 1019+6529,WISE 1019+6529,WISE 1019+6529
269,WISE 1039-1600,WISE 1039-1600,WISE 1039-1600,WISE 1039-1600
270,WISE 1042-3842,WISE 1042-3842,WISE 1042-3842,WISE 1042-3842
271,WISE 1051-2138,WISE 1051-2138,WISE 1051-2138,WISE 1051-2138
272,WISE 1122+2550,WISE 1122+2550,WISE 1122+2550,WISE 1122+2550
273,WISE 1124-0421,WISE 1124-0421,WISE 1124-0421,WISE 1124-0421
274,WISE 1147-2040,WISE 1147-2040,WISE 1147-2040,WISE 1147-2040
275,WISE 1150+6302,WISE 1150+6302,WISE 1150+6302,WISE 1150+6302
276,WISE 1217+1626A,WISE 1217+1626A,WISE 1217+1626A,WISE 1217+1626A
277,WISE 1217+1626B,WISE 1217+1626B,WISE 1217+1626B,WISE 1217+1626B
278,WISE 1225-1013,WISE 1225-1013,WISE 1225-1013,WISE 1225-1013
279,WISE 1311+0122,WISE 1311+0122,WISE 1311+0122,WISE 1311+0122
280,WISE 1311+3629,WISE 1311+3629,WISE 1311+3629,WISE 1311+3629
281,WISE 1318-1758,WISE 1318-1758,WISE 1318-1758,WISE 1318-1758
282,WISE 1320+6034,WISE 1320+6034,WISE 1320+6034,WISE 1320+6034
283,WISE 1322-2340,WISE 1322-2340,WISE 1322-2340,WISE 1322-2340
284,WISE 1348+6603,WISE 1348+6603,WISE 1348+6603,WISE 1348+6603
285,WISE 1405+5534,WISE 1405+5534,WISE 1405+5534,WISE 1405+5534
286,WISE 1433-0837,WISE 1433-0837,WISE 1433-0837,WISE 1433-0837
287,WISE 1436-1814,WISE 1436-1814,WISE 1436-1814,WISE 1436-1814
288,WISE 1457+5815,WISE 1457+5815,WISE 1457+5815,WISE 1457+5815
289,WISE 1506+7027,WISE 1506+7027,WISE 1506+7027,WISE 1506+7027
290,WISE 1517+0529,WISE 1517+0529,WISE 1517+0529,WISE 1517+0529
291,WISE 1519+7009,WISE 1519+7009,WISE 1519+7009,WISE 1519+7009
292,WISE 1523+3125,WISE 1523+3125,WISE 1523+3125,WISE 1523+3125
293,WISE 1541-2250,WISE 1541-2250,WISE 1541-2250,WISE 1541-2250
294,WISE 1542+2230,WISE 1542+2230,WISE 1542+2230,WISE 1542+2230
295,WISE 1612-3420,WISE 1612-3420,WISE 1612-3420,WISE 1612-3420
296,WISE 1614+1739,WISE 1614+1739,WISE 1614+1739,WISE 1614+1739
297,WISE 1617+1807,WISE 1617+1807,WISE 1617+1807,WISE 1617+1807
298,WISE 1622-0959,WISE 1622-0959,WISE 1622-0959,WISE 1622-0959
299,WISE 1627+3255,WISE 1627+3255,WISE 1627+3255,WISE 1627+3255
300,WISE 1639-6847,WISE 1639-6847,WISE 1639-6847,WISE 1639-6847
301,WISE 1647+5632,WISE 1647+5632,WISE 1647+5632,WISE 1647+5632
302,WISE 1653+4444,WISE 1653+4444,WISE 1653+4444,WISE 1653+4444
303,WISE 1711+3500,WISE 1711+3500,WISE 1711+3500,WISE 1711+3500
304,WISE 1717+6129,WISE 1717+6129,WISE 1717+6129,WISE 1717+6129
305,WISE 1721+1117,WISE 1721+1117,WISE 1721+1117,WISE 1721+1117
306,WISE 1728+5716,WISE 1728+5716,WISE 1728+5716,WISE 1728+5716
307,WISE 1738+2732,WISE 1738+2732,WISE 1738+2732,WISE 1738+2732
308,WISE 1741+2553,WISE 1741+2553,WISE 1741+2553,WISE 1741+2553
309,WISE 1746-0338,WISE 1746-0338,WISE 1746-0338,WISE 1746-0338
310,WISE 1800+0134,WISE 1800+0134,WISE 1800+0134,WISE 1800+0134
311,WISE 1804+3117,WISE 1804+3117,WISE 1804+3117,WISE 1804+3117
312,WISE 1809+3838,WISE 1809+3838,WISE 1809+3838,WISE 1809+3838
313,WISE 1812+2721,WISE 1812+2721,WISE 1812+2721,WISE 1812+2721
314,WISE 1828+2650,WISE 1828+2650,WISE 1828+2650,WISE 1828+2650
315,WISE 1830+4542,WISE 1830+4542,WISE 1830+4542,WISE 1830+4542
316,WISE 1841+7000,WISE 1841+7000,WISE 1841+7000,WISE 1841+7000
317,WISE 1852+3537,WISE 1852+3537,WISE 1852+3537,WISE 1852+3537
318,WISE 1906+4508,WISE 1906+4508,WISE 1906+4508,WISE 1906+4508
319,WISE 1928+2356,WISE 1928+2356,WISE 1928+2356,WISE 1928+2356
320,WISE 1952+7240,WISE 1952+7240,WISE 1952+7240,WISE 1952+7240
321,WISE 1959-3338,WISE 1959-3338,WISE 1959-3338,WISE 1959-3338
322,WISE 2030+0749,WISE 2030+0749,WISE 2030+0749,WISE 2030+0749
323,WISE 2014+0424,WISE 2014+0424,WISE 2014+0424,WISE 2014+0424
324,WISE 2015+6646,WISE 2015+6646,WISE 2015+6646,WISE 2015+6646
325,WISE 2018-7423,WISE 2018-7423,WISE 2018-7423,WISE 2018-7423
326,WISE 2019-1148,WISE 2019-1148,WISE 2019-1148,WISE 2019-1148
327,WISE 2056+1459,WISE 2056+1459,WISE 2056+1459,WISE 2056+1459
328,WISE 2134-7137,WISE 2134-7137,WISE 2134-7137,WISE 2134-7137
329,WISE 2157+2659,WISE 2157+2659,WISE 2157+2659,WISE 2157+2659
330,WISE 2209-2734,WISE 2209-2734,WISE 2209-2734,WISE 2209-2734
331,WISE 2213+0911,WISE 2213+0911,WISE 2213+0911,WISE 2213+0911
332,WISE 2220-3628,WISE 2220-3628,WISE 2220-3628,WISE 2220-3628
333,WISE 2226+0440,WISE 2226+0440,WISE 2226+0440,WISE 2226+0440
334,WISE 2237-0614,WISE 2237-0614,WISE 2237-0614,WISE 2237-0614
335,WISE 2237+7228,WISE 2237+7228,WISE 2237+7228,WISE 2237+7228
336,WISE 2239+1617,WISE 2239+1617,WISE 2239+1617,WISE 2239+1617
337,WISE 2255-3118,WISE 2255-3118,WISE 2255-3118,WISE 2255-3118
338,WISE 2301+0216,WISE 2301+0216,WISE 2301+0216,WISE 2301+0216
339,WISE 2313-8037,WISE 2313-8037,WISE 2313-8037,WISE 2313-8037
340,WISE 2319-1844,WISE 2319-1844,WISE 2319-1844,WISE 2319-1844
341,WISE 2325-4105,WISE 2325-4105,WISE 2325-4105,WISE 2325-4105
342,WISE 2327-2730,WISE 2327-2730,WISE 2327-2730,WISE 2327-2730
343,WISE 2335+4222,WISE 2335+4222,WISE 2335+4222,WISE 2335+4222
344,WISE 2340-0745,WISE 2340-0745,WISE 2340-0745,WISE 2340-0745
345,WISE 2342+0856,WISE 2342+0856,WISE 2342+0856,WISE 2342+0856
346,WISE 2343-7418,WISE 2343-7418,WISE 2343-7418,WISE 2343-7418
347,WISE 2344+1034,WISE 2344+1034,WISE 2344+1034,WISE 2344+1034
348,WISE 2348-1028,WISE 2348-1028,WISE 2348-1028,WISE 2348-1028
349,WISE 2357+1227,WISE 2357+1227,WISE 2357+1227,WISE 2357+1227
350,WISE 2359-7335,WISE 2359-7335,WISE 2359-7335,WISE 2359-7335
351,WISEA 1101+5400,WISEA 1101+5400,WISEA 1101+5400,WISEA 1101+5400
352,2M1510,2M1510,2M1510,2M1510
